MicroRNA;Research field;Study ;Medium;Finding;Function;;;;;;;
hsa-miR-484;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly different while comparing MS vs HC, RR vs HC, SP vs HC;Known factor in the regulation of neural progenitor cells and its decreased expression causes dysregulated synaptogenesis and is linked to neurodevelopmental conditions including epilepsy, autism, and hyperactivity. Its increased expression in MS patients' sera might reflect the activation of neurogenesis pathways as part of an ongoing repair process.;;;;;;;
hsa-miR140-5p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly different while comparing MS vs HC, SP vs HC ;;;;;;;;
hsa-miR-320a;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491. Tripathi A, Volsko C, Datta U, Regev K, Dutta R. Expression of disease-related miRNAs in white-matter lesions of progressive multiple sclerosis brains. Ann Clin Transl Neurol. 2019 Mar 21;6(5):854-862.";Serum. White matter lesions of MS brains. ;Significantly different while comparing MS vs HC, SP vs HC. Signficantly upregulated in WMLs of progressive MS brains. Pathogenic association with lesion severity. ;Some of the targets: CD71, MCL-1, MMP-9, NRP1, HDAC4, B-catenin, and MAPK. Valid for all 320.;;;;;;;
hsa-miR486-5p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly different while comparing MS vs HC, SP vs HC;;;;;;;;
hsa-miR-320c;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly different while comparing MS vs HC, SP vs HC ;;;;;;;;
hsa-miR-142-5p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly different while comparing SP vs HC. Significantly correlated with EDSS. ;;;;;;;;
hsa-miR-320b;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly different while comparing SP vs HC. Significantly correlated with EDSS. ;;;;;;;;
hsa-miR199a-5p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly correlated with EDSS.;;;;;;;;
hsa-miR-337-3p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly correlated with EDSS. Negative correlation. Expression significantly decreased in SP compared to RR.;Targets RAP1A in cancer, a component of integrin activation.Potential role to serve as biomarker for trediction of therapy response to natalizumab. ;;;;;;;
hsa-let-7f-5p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly different while comparing RR vs HC, MS vs HC;;;;;;;;
hsa-let-7e-5p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly different while comparing RR vs HC, MS vs HC;;;;;;;;
hsa-miR-30e-5p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly different while comparing MS vs HC ;;;;;;;;
hsa-miR-330-3p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly correlated with EDSS.;;;;;;;;
hsa-miR-194-5p;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly correlated with EDSS.;;;;;;;;
hsa-miR-941;MS;"1.Regev K, Gandhi R et al. Identification of MS-specific serum miRNAs in an international multicenter study. Neurol Neuroimmunol Neuroinflamm. 2018 Aug 20;5(5):e491.";Serum ;Significantly correlated with EDSS.;;;;;;;;
miR-572;MS;"1. Mancuso R, Clerici M et al. MicroRNA-572 expression in multiple sclerosis patients with different patterns of clinical progression. J Transl Med. 2015 May 7;13:148.";Serum ;Significantly downregulated in MS vs HC. Lowest serum concentration in PP and in RR during the remitting phase. Increased in SP vs PP and in RR during relapse. Positively correlated with EDSS. ;"Possibly targets NCAM, an integral
membrane glycoprotein in neuronal and glial cells and it
promotes adhesion between cells through interacting
with homologous molecules on adjacent cells linked to CNS reparative mechanisms. ";;;;;;;
miR-16-5p^;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Upregulated in RRMS compared to CIS, RRMS-specific;;;;;;;;
miR-4697-5p;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Downregulated in CIS vs HC and in CIS vs RR - CIS-specific. High predictive value together with *;Targets STAT1. In CIS-remisson, the downregulation of this microRNA may enable more STAT1 translation and thereby suppression of Th17 cells.;;;;;;;
miR-711*;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Downregulated in CIS vs HC and in CIS vs RR - CIS-specific;;;;;;;;
miR-4761-3p;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Downregulated in CIS vs HC and in CIS vs RR - CIS-specific;;;;;;;;
miR-5094*;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Downregulated in CIS vs HC and in CIS vs RR - CIS-specific;;;;;;;;
miR-4474-5p;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Downregulated in CIS vs HC and in CIS vs RR - CIS-specific;;;;;;;;
miR-1909-3p;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Downregulated in CIS vs HC and in CIS vs RR - CIS-specific. Upregulated in RR vs CIS - RRMS-specific;;;;;;;;
miR-4787-5p^;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Upregulated in RRMS compared to CIS, RRMS-specific;;;;;;;;
miR-135b-5p;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Upregulated in RRMS compared to CIS, RRMS-specific. High predictive value together with ^;;;;;;;;
miR-451a^;MS;"Cuomo-Haymour N, Pryce CR et al. Differential Expression of Serum Extracellular Vesicle miRNAs in Multiple Sclerosis: Disease-Stage Specificity and Relevance to Pathophysiology. Int J Mol Sci. 2022 Jan 31;23(3):";Serum EV;Upregulated in RRMS compared to CIS, RRMS-specific;;;;;;;;
